缩写ID	缩写符号
UnitsID	Part
0	K
1	M
2	B
3	T
4	aa
5	ab
6	ac
7	ad
8	ae
9	af
10	ag
11	ah
12	ai
13	aj 
14	ak
15	al
16	am
17	an
18	ao
19	ap
20	aq
21	ar
22	as
23	at
24	au
25	av
26	aw
27	ax
28	ay
29	az
30	ba
31	bb
32	bc
33	bd
34	be
35	bf
36	bg
37	bh
38	bi
39	bj
40	bk
41	bl
42	bm
43	bn
44	bo
45	bp
46	bq
47	br
48	bs
49	bt
50	bu
51	bv
52	bw
53	bx
54	by
55	bz
56	ca
57	cb
58	cc
59	cd
60	ce
61	cf
62	cg
63	ch
64	ci
65	cj
66	ck
67	cl
68	cm
69	cn
70	co
71	cp
72	cq
73	cr
74	cs
75	ct
76	cu
77	cv
78	cw
79	cx
80	cy
81	cz
82	da
83	db
84	dc
85	dd
86	de
87	df
88	dg
89	dh
90	di
91	dj
92	dk
93	dl
94	dm
95	dn
96	do
97	dp
98	dq
99	dr
100	ds
101	dt
102	du
103	dv
104	dw
105	dx
106	dy
107	dz
108	ea
109	eb
110	ec
111	ed
112	ee
113	ef
114	eg
115	eh
116	ei
117	ej
118	ek
119	el
120	em
121	en
122	eo
123	ep
124	eq
125	er
126	es
127	et
128	eu
129	ev
130	ew
131	ex
132	ey
133	ez
134	fa
135	fb
136	fc
137	fd
138	fe
139	ff
140	fg
141	fh
142	fi
143	fj
144	fk
145	fl
146	fm
147	fn
148	fo
149	fp
150	fq
151	fr
152	fs
153	ft
154	fu
155	fv
156	fw
157	fx
158	fy
159	fz
160	ga
161	gb
162	gc
163	gd
164	ge
165	gf
166	gg
167	gh
168	gi
169	gj
170	gk
171	gl
172	gm
173	gn
174	go
175	gp
176	gq
177	gr
178	gs
179	gt
180	gu
181	gv
182	gw
183	gx
184	gy
185	gz
